id,listing_url,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3191,https://www.airbnb.com/rooms/3191,79,6,1,31/05/2013,18/06/2024,4.82,4.84,4.7,4.97,4.96,4.77,4.81,,t,1,1,0,0,0.59
298622,https://www.airbnb.com/rooms/298622,71,1,0,09/03/2012,17/01/2024,4.94,4.97,4.89,4.97,4.99,4.87,4.89,,f,1,1,0,0,0.47
357793,https://www.airbnb.com/rooms/357793,224,16,0,23/07/2012,12/04/2024,4.76,4.87,4.82,4.78,4.79,4.73,4.83,,f,1,1,0,0,1.54
357993,https://www.airbnb.com/rooms/357993,108,3,0,23/02/2014,08/02/2024,4.79,4.88,4.89,4.93,4.84,4.76,4.64,,f,3,3,0,0,0.86
15007,https://www.airbnb.com/rooms/15007,46,2,0,15/12/2013,02/04/2024,4.83,4.91,4.85,4.98,4.96,4.93,4.85,,f,4,4,0,0,0.36
363935,https://www.airbnb.com/rooms/363935,4,0,0,19/02/2015,30/12/2020,4.25,4.25,4.25,4.5,4.5,4,3.5,,f,2,1,1,0,0.04
370531,https://www.airbnb.com/rooms/370531,23,1,0,19/04/2012,13/01/2024,4.91,4.91,4.91,4.95,5,4.86,4.82,,f,1,1,0,0,0.15
15068,https://www.airbnb.com/rooms/15068,0,0,0,,,,,,,,,,,f,5,5,0,0,
381267,https://www.airbnb.com/rooms/381267,0,0,0,,,,,,,,,,,f,2,2,0,0,
15077,https://www.airbnb.com/rooms/15077,7,0,0,06/01/2013,16/06/2022,5,4.86,4.86,4.86,4.71,4.86,5,,f,6,1,5,0,0.05
390198,https://www.airbnb.com/rooms/390198,65,5,0,27/03/2012,03/05/2024,5,4.97,4.97,4.98,5,4.97,4.93,,f,6,5,1,0,0.44
395538,https://www.airbnb.com/rooms/395538,7,0,0,09/04/2013,02/01/2018,4.57,4.86,4.86,5,4.86,4.57,4.86,,f,1,1,0,0,0.05
15199,https://www.airbnb.com/rooms/15199,2,0,0,04/03/2014,15/04/2016,4.5,4,4,4.5,5,5,4,,f,1,1,0,0,0.02
400107,https://www.airbnb.com/rooms/400107,55,10,0,10/03/2013,22/03/2024,4.98,4.95,4.91,4.98,5,4.95,4.86,,f,6,4,2,0,0.4
15354,https://www.airbnb.com/rooms/15354,0,0,0,,,,,,,,,,,f,1,1,0,0,
428550,https://www.airbnb.com/rooms/428550,3,1,0,25/01/2015,03/01/2024,4.67,5,4.67,5,5,4.67,5,,f,3,3,0,0,0.03
15480,https://www.airbnb.com/rooms/15480,23,0,0,15/06/2010,24/08/2022,4.36,4.5,4.14,4.73,4.77,4.82,4.41,,f,1,1,0,0,0.13
443237,https://www.airbnb.com/rooms/443237,5,2,1,16/12/2012,22/06/2024,5,5,5,5,5,5,5,,f,4,3,1,0,0.04
15704,https://www.airbnb.com/rooms/15704,2,0,0,14/11/2017,01/03/2023,5,5,5,5,5,5,5,,f,5,5,0,0,0.02
469356,https://www.airbnb.com/rooms/469356,16,5,0,09/12/2018,04/04/2024,5,4.81,5,5,5,5,4.81,,t,1,1,0,0,0.24
16259,https://www.airbnb.com/rooms/16259,16,2,0,27/07/2014,12/01/2024,5,5,5,5,5,5,4.81,,f,3,2,1,0,0.13
471729,https://www.airbnb.com/rooms/471729,68,4,0,18/11/2014,08/04/2024,4.66,4.59,4.52,4.64,4.7,4.79,4.63,,f,2,2,0,0,0.58
18499,https://www.airbnb.com/rooms/18499,0,0,0,,,,,,,,,,,f,1,0,1,0,
473856,https://www.airbnb.com/rooms/473856,183,14,0,13/07/2012,17/04/2024,4.86,4.94,4.94,4.88,4.9,4.83,4.78,,f,4,4,0,0,1.26
19271,https://www.airbnb.com/rooms/19271,129,27,3,23/02/2012,21/06/2024,4.95,4.95,4.98,4.97,4.95,4.99,4.96,,f,5,5,0,0,0.86
19384,https://www.airbnb.com/rooms/19384,6,0,0,23/04/2017,29/03/2023,5,5,5,5,5,5,5,,f,1,1,0,0,0.07
474596,https://www.airbnb.com/rooms/474596,3,0,0,05/01/2018,18/02/2023,5,5,5,5,5,5,4.67,,f,1,1,0,0,0.04
19561,https://www.airbnb.com/rooms/19561,0,0,0,,,,,,,,,,,f,1,0,1,0,
19658,https://www.airbnb.com/rooms/19658,0,0,0,,,,,,,,,,,f,1,0,1,0,
487252,https://www.airbnb.com/rooms/487252,39,6,0,02/07/2012,05/02/2024,4.55,4.66,4.76,4.74,4.82,4.74,4.61,,f,3,2,1,0,0.27
487261,https://www.airbnb.com/rooms/487261,6,0,0,17/11/2012,11/11/2021,4.8,4.83,4.83,5,5,5,4.67,,f,3,2,1,0,0.04
